股票代码,股票名称,股票链接
SZ300682,朗新科技,/S/SZ300682
SH600012,皖通高速,/S/SH600012
SZ000777,中核科技,/S/SZ000777
SZ300146,汤臣倍健,/S/SZ300146
SZ002677,浙江美大,/S/SZ002677
SZ300201,海伦哲,/S/SZ300201
SZ300434,金石东方,/S/SZ300434
SZ300522,世名科技,/S/SZ300522
SH600735,新华锦,/S/SH600735
SH600745,闻泰科技,/S/SH600745
SZ002468,申通快递,/S/SZ002468
SH600978,宜华生活,/S/SH600978
SH603599,广信股份,/S/SH603599
SZ000606,顺利办,/S/SZ000606
SH000006,地产指数,/S/SH000006
SH601233,桐昆股份,/S/SH601233
SZ002788,鹭燕医药,/S/SZ002788
SH601766,中国中车,/S/SH601766
SZ000932,华菱钢铁,/S/SZ000932
SZ300346,南大光电,/S/SZ300346
SZ002382,蓝帆医疗,/S/SZ002382
SZ002790,瑞尔特,/S/SZ002790
SH600161,天坛生物,/S/SH600161
SH600390,五矿资本,/S/SH600390
SH603606,东方电缆,/S/SH603606
SZ000671,阳光城,/S/SZ000671
SZ002014,永新股份,/S/SZ002014
SZ002597,金禾实业,/S/SZ002597
SH603990,麦迪科技,/S/SH603990
SH600009,上海机场,/S/SH600009
SZ300407,凯发电气,/S/SZ300407
SH600778,*ST友好,/S/SH600778
SH603208,江山欧派,/S/SH603208
SZ002251,步步高,/S/SZ002251
SZ002718,友邦吊顶,/S/SZ002718
SZ002192,融捷股份,/S/SZ002192
SH601288,农业银行,/S/SH601288
SH601515,东风股份,/S/SH601515
SH600196,复星医药,/S/SH600196
SH600766,园城黄金,/S/SH600766
SH603848,好太太,/S/SH603848
SZ300246,宝莱特,/S/SZ300246
SZ300736,百邦科技,/S/SZ300736
SZ399431,国证银行,/S/SZ399431
SH601111,中国国航,/S/SH601111
SZ002223,鱼跃医疗,/S/SZ002223
SZ200706,瓦轴B,/S/SZ200706
SH000951,300银行,/S/SH000951
SZ399951,300银行,/S/SZ399951
SH600120,浙江东方,/S/SH600120
SZ000650,仁和药业,/S/SZ000650
SH600872,中炬高新,/S/SH600872
SH603106,恒银金融,/S/SH603106
SH603333,尚纬股份,/S/SH603333
SZ300174,元力股份,/S/SZ300174
SH000947,内地银行,/S/SH000947
SZ000707,*ST双环,/S/SZ000707
SZ002139,拓邦股份,/S/SZ002139
SZ002891,中宠股份,/S/SZ002891
SZ300470,日机密封,/S/SZ300470
SZ399986,中证银行,/S/SZ399986
SH600176,中国巨石,/S/SH600176
SZ002504,弘高创意,/S/SZ002504
SZ300570,太辰光,/S/SZ300570
SH603828,柯利达,/S/SH603828
SZ002853,皮阿诺,/S/SZ002853
SZ002402,和而泰,/S/SZ002402
SZ002125,湘潭电化,/S/SZ002125
SZ002293,罗莱生活,/S/SZ002293
SZ300367,东方网力,/S/SZ300367
SZ399983,地产等权,/S/SZ399983
SZ000055,方大集团,/S/SZ000055
SZ002009,天奇股份,/S/SZ002009
SZ399327,深证治理,/S/SZ399327
SH603103,横店影视,/S/SH603103
SZ001979,招商蛇口,/S/SZ001979
SZ002415,海康威视,/S/SZ002415
SH600837,海通证券,/S/SH600837
SZ002264,新华都,/S/SZ002264
SZ300256,星星科技,/S/SZ300256
SZ000886,海南高速,/S/SZ000886
SZ002859,洁美科技,/S/SZ002859
SZ399356,珠三角,/S/SZ399356
SH601012,隆基股份,/S/SH601012
SZ002191,劲嘉股份,/S/SZ002191
SZ002546,新联电子,/S/SZ002546
SH600558,大西洋,/S/SH600558
SZ000581,威孚高科,/S/SZ000581
SZ300020,银江股份,/S/SZ300020
SZ300428,四通新材,/S/SZ300428
SZ399984,300等权,/S/SZ399984
SH600618,氯碱化工,/S/SH600618
SH601155,新城控股,/S/SH601155
SH601998,中信银行,/S/SH601998
SZ000888,峨眉山A,/S/SZ000888
SZ200429,粤高速B,/S/SZ200429
SZ300603,立昂技术,/S/SZ300603
SZ002831,裕同科技,/S/SZ002831
SZ300363,博腾股份,/S/SZ300363
SH000134,上证银行,/S/SH000134
SZ002132,恒星科技,/S/SZ002132
SH000038,上证金融,/S/SH000038
SH600896,*ST海投,/S/SH600896
SZ002595,豪迈科技,/S/SZ002595
SH601128,常熟银行,/S/SH601128
SH601318,中国平安,/S/SH601318
SH600037,歌华有线,/S/SH600037
SH600160,巨化股份,/S/SH600160
SH603868,飞科电器,/S/SH603868
SZ002659,凯文教育,/S/SZ002659
SH000076,金融等权,/S/SH000076
SZ399325,成长40R,/S/SZ399325
SH601186,中国铁建,/S/SH601186
SH601877,正泰电器,/S/SH601877
SZ002457,青龙管业,/S/SZ002457
SZ300630,普利制药,/S/SZ300630
SZ300472,新元科技,/S/SZ300472
SZ399050,创新引擎,/S/SZ399050
SH603707,健友股份,/S/SH603707
SZ300212,易华录,/S/SZ300212
SZ399651,中小责任,/S/SZ399651
SZ002397,梦洁股份,/S/SZ002397
SZ300138,晨光生物,/S/SZ300138
SZ300661,圣邦股份,/S/SZ300661
SZ002594,比亚迪,/S/SZ002594
SGXCN,新华富时,/S/SGXCN
SH600388,龙净环保,/S/SH600388
SZ399321,国证红利,/S/SZ399321
SZ000695,滨海能源,/S/SZ000695
SZ000951,中国重汽,/S/SZ000951
SH000052,50基本,/S/SH000052
SZ399345,深证成长,/S/SZ399345
SZ000651,格力电器,/S/SZ000651
SZ000921,海信家电,/S/SZ000921
SZ002131,利欧股份,/S/SZ002131
SZ399554,央视治理,/S/SZ399554
SZ300757,罗博特科,/S/SZ300757
SH000063,上证周期,/S/SH000063
SH000914,300金融,/S/SH000914
SH000948,内地地产,/S/SH000948
SZ399914,300金融,/S/SZ399914
SZ399965,800地产,/S/SZ399965
SH603588,高能环境,/S/SH603588
SZ002419,天虹股份,/S/SZ002419
SZ002589,瑞康医药,/S/SZ002589
SZ002669,康达新材,/S/SZ002669
SZ300172,中电环保,/S/SZ300172
SZ399809,保险主题,/S/SZ399809
SH600029,南方航空,/S/SH600029
SH600183,生益科技,/S/SH600183
SZ002110,三钢闽光,/S/SZ002110
SZ200020,深华发B,/S/SZ200020
SZ200771,杭汽轮B,/S/SZ200771
SZ399340,深证责任,/S/SZ399340
SZ002142,宁波银行,/S/SZ002142
SH000919,300价值,/S/SH000919
SH000925,基本面50,/S/SH000925
SZ399919,300价值,/S/SZ399919
SZ399925,基本面50,/S/SZ399925
SH600630,龙头股份,/S/SH600630
SH603520,司太立,/S/SH603520
SH603558,健盛集团,/S/SH603558
SZ000737,*ST南风,/S/SZ000737
SZ300325,德威新材,/S/SZ300325
SH000029,180价值,/S/SH000029
SH600325,华发股份,/S/SH600325
SH600563,法拉电子,/S/SH600563
SZ002222,福晶科技,/S/SZ002222
SZ002282,博深工具,/S/SZ002282
SZ002491,通鼎互联,/S/SZ002491
SZ002838,道恩股份,/S/SZ002838
SZ300411,金盾股份,/S/SZ300411
SH000016,上证50,/S/SH000016
SH000818,细分金融,/S/SH000818
SH600729,重庆百货,/S/SH600729
SH601688,华泰证券,/S/SH601688
SZ300137,先河环保,/S/SZ300137
SZ300487,蓝晓科技,/S/SZ300487
SH000946,内地金融,/S/SH000946
SZ399373,大盘价值,/S/SZ399373
SH600060,海信电器,/S/SH600060
SH601028,玉龙股份,/S/SH601028
SH603077,和邦生物,/S/SH603077
SZ000961,中南建设,/S/SZ000961
SZ002169,智光电气,/S/SZ002169
SZ002373,千方科技,/S/SZ002373
SH000170,50AH优选,/S/SH000170
SZ399405,大盘高贝,/S/SZ399405
SZ399650,中小治理,/S/SZ399650
SH603133,碳元科技,/S/SH603133
SH603882,金域医学,/S/SH603882
SZ002353,杰瑞股份,/S/SZ002353
SZ399347,深证价值,/S/SZ399347
SH600016,民生银行,/S/SH600016
SH603298,杭叉集团,/S/SH603298
SZ002725,跃岭股份,/S/SZ002725
SZ300595,欧普康视,/S/SZ300595
SZ399322,国证治理,/S/SZ399322
SZ002249,大洋电机,/S/SZ002249
SZ300706,阿石创,/S/SZ300706
SZ002342,巨力索具,/S/SZ002342
SZ399619,深证金融,/S/SZ399619
SH600000,浦发银行,/S/SH600000
SH600019,宝钢股份,/S/SH600019
SH603056,德邦股份,/S/SH603056
SZ300119,瑞普生物,/S/SZ300119
SH000911,300可选,/S/SH000911
SZ399110,农林指数,/S/SZ399110
SZ399310,国证50,/S/SZ399310
SZ399911,300可选,/S/SZ399911
SZ002044,美年健康,/S/SZ002044
SZ002126,银轮股份,/S/SZ002126
SZ002493,荣盛石化,/S/SZ002493
SZ002611,东方精工,/S/SZ002611
SZ300217,东方电热,/S/SZ300217
SH000018,180金融,/S/SH000018
SH000048,责任指数,/S/SH000048
SH000934,中证金融,/S/SH000934
SZ399934,中证金融,/S/SZ399934
SH600997,开滦股份,/S/SH600997
SH603688,石英股份,/S/SH603688
SZ000550,江铃汽车,/S/SZ000550
SZ399324,深证红利,/S/SZ399324
SH600583,海油工程,/S/SH600583
SH600984,建设机械,/S/SH600984
SZ002632,道明光学,/S/SZ002632
SZ300590,移为通信,/S/SZ300590
SH000968,300周期,/S/SH000968
SZ300438,鹏辉能源,/S/SZ300438
SZ000655,*ST金岭,/S/SZ000655
SZ000710,贝瑞基因,/S/SZ000710
SZ300224,正海磁材,/S/SZ300224
SZ399313,巨潮100,/S/SZ399313
SZ399328,深证治理,/S/SZ399328
SH600383,金地集团,/S/SH600383
SH600516,方大炭素,/S/SH600516
SH601398,工商银行,/S/SH601398
SH603233,大参林,/S/SH603233
SH000139,上证转债,/S/SH000139
SH600119,长江投资,/S/SH600119
SH603128,华贸物流,/S/SH603128
SZ002487,大金重工,/S/SZ002487
SH000028,180成长,/S/SH000028
SH000054,上证海外,/S/SH000054
SH000812,细分机械,/S/SH000812
SH000974,800金融,/S/SH000974
SH600480,凌云股份,/S/SH600480
SH600502,安徽水利,/S/SH600502
SZ002645,华宏科技,/S/SZ002645
SZ002773,康弘药业,/S/SZ002773
SZ399367,巨潮地产,/S/SZ399367
SZ399701,深证F60,/S/SZ399701
SH600481,双良节能,/S/SH600481
SH600519,贵州茅台,/S/SH600519
SH603659,璞泰来,/S/SH603659
SZ200413,东旭B,/S/SZ200413
SZ300144,宋城演艺,/S/SZ300144
SH000903,中证100,/S/SH000903
SH000980,中证超大,/S/SH000980
SZ399903,中证100,/S/SZ399903
SH600661,昂立教育,/S/SH600661
SH603239,浙江仙通,/S/SH603239
SH603711,香飘飘,/S/SH603711
SZ002580,圣阳股份,/S/SZ002580
SZ300408,三环集团,/S/SZ300408
SZ399387,1000金融,/S/SZ399387
SZ399915,300信息,/S/SZ399915
SH603822,嘉澳环保,/S/SH603822
SZ000529,广弘控股,/S/SZ000529
SZ002074,国轩高科,/S/SZ002074
SZ002273,水晶光电,/S/SZ002273
SZ300712,永福股份,/S/SZ300712
SZ399357,环渤海,/S/SZ399357
SH600741,华域汽车,/S/SH600741
SZ000059,华锦股份,/S/SZ000059
SZ000922,佳电股份,/S/SZ000922
SZ300031,宝通科技,/S/SZ300031
SH000155,市值百强,/S/SH000155
SH000992,全指金融,/S/SH000992
SZ399369,CBN-兴全,/S/SZ399369
SZ399391,投资时钟,/S/SZ399391
SZ399655,深证绩效,/S/SZ399655
SZ399976,CS新能车,/S/SZ399976
SH600291,西水股份,/S/SH600291
SZ000488,晨鸣纸业,/S/SZ000488
SZ002091,江苏国泰,/S/SZ002091
SZ002545,东方铁塔,/S/SZ002545
SH000042,上证央企,/S/SH000042
SH000971,等权90,/S/SH000971
SZ399552,央视成长,/S/SZ399552
SH000008,综合指数,/S/SH000008
SH000050,50等权,/S/SH000050
SZ002015,霞客环保,/S/SZ002015
SZ002461,珠江啤酒,/S/SZ002461
SZ300600,瑞特股份,/S/SZ300600
SH603338,浙江鼎力,/S/SH603338
SH603609,禾丰牧业,/S/SH603609
SZ300545,联得装备,/S/SZ300545
SH600728,佳都科技,/S/SH600728
SH601229,上海银行,/S/SH601229
SH603677,奇精机械,/S/SH603677
SZ002135,东南网架,/S/SZ002135
SH000056,上证国企,/S/SH000056
SZ399241,地产指数,/S/SZ399241
SH600229,城市传媒,/S/SH600229
SH600690,青岛海尔,/S/SH600690
SH600999,招商证券,/S/SH600999
SH603228,景旺电子,/S/SH603228
SH603506,南都物业,/S/SH603506
SZ000037,深南电A,/S/SZ000037
SZ002407,多氟多,/S/SZ002407
SZ002798,帝欧家居,/S/SZ002798
SZ002821,凯莱英,/S/SZ002821
SZ200030,富奥B,/S/SZ200030
SZ300403,汉宇集团,/S/SZ300403
SH000058,全指价值,/S/SH000058
SH000125,180稳定,/S/SH000125
SH000921,300R价值,/S/SH000921
SZ002154,报喜鸟,/S/SZ002154
SH000021,180治理,/S/SH000021
SH000965,基本200,/S/SH000965
SZ399413,国证转债,/S/SZ399413
SZ399653,深证龙头,/S/SZ399653
SZ002007,华兰生物,/S/SZ002007
SZ002909,集泰股份,/S/SZ002909
SZ300233,金城医药,/S/SZ300233
SZ300617,安靠智电,/S/SZ300617
SH000053,180基本,/S/SH000053
SZ399341,深证责任,/S/SZ399341
SZ399352,深企综指,/S/SZ399352
SZ399378,南方低碳,/S/SZ399378
SH600860,京城股份,/S/SH600860
SH603368,柳药股份,/S/SH603368
SH603690,至纯科技,/S/SH603690
SH000031,180R价值,/S/SH000031
SH000918,300成长,/S/SH000918
SZ399555,央视责任,/S/SZ399555
SZ399649,中小红利,/S/SZ399649
SZ399918,300成长,/S/SZ399918
SH600015,华夏银行,/S/SH600015
SH600838,上海九百,/S/SH600838
SH600870,*ST厦华,/S/SH600870
SH603018,中设集团,/S/SH603018
SH600234,ST山水,/S/SH600234
SH603885,吉祥航空,/S/SH603885
SH000055,上证地企,/S/SH000055
SZ399393,国证地产,/S/SZ399393
SZ002318,久立特材,/S/SZ002318
SZ002326,永太科技,/S/SZ002326
SZ300493,润欣科技,/S/SZ300493
SZ300501,海顺新材,/S/SZ300501
SZ399954,地企100,/S/SZ399954
SH603866,桃李面包,/S/SH603866
SZ000925,众合科技,/S/SZ000925
SH000043,超大盘,/S/SH000043
SH600261,阳光照明,/S/SH600261
SH601066,中信建投,/S/SH601066
SH601601,中国太保,/S/SH601601
SH900905,老凤祥B,/S/SH900905
SZ000413,东旭光电,/S/SZ000413
SZ002476,宝莫股份,/S/SZ002476
SZ300248,新开普,/S/SZ300248
SZ300653,正海生物,/S/SZ300653
SH000970,ESG40,/S/SH000970
SZ399326,成长40,/S/SZ399326
SZ399686,深成金融,/S/SZ399686
SH603900,莱绅通灵,/S/SH603900
SZ000501,鄂武商A,/S/SZ000501
SZ002156,通富微电,/S/SZ002156
SZ002226,江南化工,/S/SZ002226
SZ399402,周期100,/S/SZ399402
SZ399644,深证时钟,/S/SZ399644
SZ399811,CSSW电子,/S/SZ399811
SH603037,凯众股份,/S/SH603037
SH603309,维力医疗,/S/SH603309
SZ000402,金融街,/S/SZ000402
SZ002177,御银股份,/S/SZ002177
SH000098,上证F200,/S/SH000098
SH000927,央企100,/S/SH000927
SZ399550,央视50,/S/SZ399550
SH601928,凤凰传媒,/S/SH601928
SZ000418,小天鹅A,/S/SZ000418
SZ002228,合兴包装,/S/SZ002228
SZ002406,远东传动,/S/SZ002406
SZ002731,萃华珠宝,/S/SZ002731
SZ300396,迪瑞医疗,/S/SZ300396
SH000844,300稳定,/S/SH000844
SZ399314,巨潮大盘,/S/SZ399314
SH600423,*ST柳化,/S/SH600423
SH601169,北京银行,/S/SH601169
SZ002801,微光股份,/S/SZ002801
SZ399354,分析师指,/S/SZ399354
SH601003,柳钢股份,/S/SH601003
SZ200581,苏威孚B,/S/SZ200581
SZ300003,乐普医疗,/S/SZ300003
SH600030,中信证券,/S/SH600030
SH601988,中国银行,/S/SH601988
SH603708,家家悦,/S/SH603708
SZ002288,超华科技,/S/SZ002288
SZ002896,中大力德,/S/SZ002896
SH000828,300高贝,/S/SH000828
SZ399372,大盘成长,/S/SZ399372
SZ399702,深证F120,/S/SZ399702
SH600418,江淮汽车,/S/SH600418
SH600636,三爱富,/S/SH600636
SH000010,上证180,/S/SH000010
SH000027,180运输,/S/SH000027
SH000977,内地低碳,/S/SH000977
SZ399334,深证央企,/S/SZ399334
SZ399371,国证价值,/S/SZ399371
SZ399603,SME成长R,/S/SZ399603
SZ399616,深证可选,/S/SZ399616
SZ399683,深成可选,/S/SZ399683
SZ399920,300R成长,/S/SZ399920
SZ399977,内地低碳,/S/SZ399977
SH900952,锦港B股,/S/SH900952
SZ000717,韶钢松山,/S/SZ000717
SZ002214,大立科技,/S/SZ002214
SZ300243,瑞丰高材,/S/SZ300243
SH000956,国企200,/S/SH000956
SZ399348,深证价值,/S/SZ399348
SZ399432,国证汽车,/S/SZ399432
SZ399972,300深市,/S/SZ399972
SH600129,太极集团,/S/SH600129
